time,open,high,low,close,tick_volume,spread,real_volume
2025-03-25 06:40:00,3015.968,3016.394,3015.396,3015.628,427,0,0
2025-03-25 06:45:00,3015.661,3016.018,3014.883,3015.464,389,0,0
2025-03-25 06:50:00,3015.488,3017.272,3015.437,3017.272,644,0,0
2025-03-25 06:55:00,3017.23,3018.564,3017.147,3017.856,445,0,0
2025-03-25 07:00:00,3017.888,3018.203,3016.579,3016.785,462,0,0
2025-03-25 07:05:00,3016.709,3017.102,3015.5,3017.061,409,0,0
2025-03-25 07:10:00,3017.02,3017.564,3016.825,3017.221,341,0,0
2025-03-25 07:15:00,3017.227,3017.321,3015.035,3015.276,422,0,0
2025-03-25 07:20:00,3015.312,3015.565,3013.165,3013.439,598,0,0
2025-03-25 07:25:00,3013.436,3015.205,3013.303,3014.773,503,0,0
2025-03-25 07:30:00,3014.755,3016.528,3014.755,3015.741,559,0,0
2025-03-25 07:35:00,3015.71,3015.71,3013.945,3013.945,377,0,0
2025-03-25 07:40:00,3013.89,3014.211,3012.711,3013.189,351,0,0
2025-03-25 07:45:00,3013.189,3013.573,3012.721,3012.81,383,0,0
2025-03-25 07:50:00,3012.745,3013.282,3012.437,3012.852,324,0,0
2025-03-25 07:55:00,3012.827,3012.964,3010.601,3011.21,622,0,0
2025-03-25 08:00:00,3011.231,3012.651,3011.231,3011.617,620,0,0
2025-03-25 08:05:00,3011.616,3012.532,3010.761,3012.211,537,0,0
2025-03-25 08:10:00,3012.189,3015.331,3011.913,3013.671,766,0,0
2025-03-25 08:15:00,3013.682,3014.141,3012.969,3014.006,428,0,0
2025-03-25 08:20:00,3013.983,3016.747,3013.444,3016.4,708,0,0
2025-03-25 08:25:00,3016.378,3018.211,3016.115,3018.014,644,0,0
2025-03-25 08:30:00,3018.037,3020.277,3017.685,3019.261,943,0,0
2025-03-25 08:35:00,3019.251,3020.509,3018.833,3020.319,755,0,0
2025-03-25 08:40:00,3020.324,3020.451,3018.447,3020.038,617,0,0
2025-03-25 08:45:00,3020.003,3021.35,3019.839,3020.76,747,0,0
2025-03-25 08:50:00,3020.758,3021.733,3020.758,3021.551,485,0,0
2025-03-25 08:55:00,3021.553,3022.013,3020.493,3021.4,461,0,0
2025-03-25 09:00:00,3021.353,3021.566,3020.872,3021.177,340,0,0
2025-03-25 09:05:00,3021.144,3021.355,3019.849,3020.509,526,0,0
2025-03-25 09:10:00,3020.511,3021.509,3020.503,3021.25,459,0,0
2025-03-25 09:15:00,3021.248,3021.773,3020.557,3020.747,506,0,0
2025-03-25 09:20:00,3020.745,3021.872,3020.124,3021.701,524,0,0
2025-03-25 09:25:00,3021.763,3021.907,3020.919,3021.199,356,0,0
2025-03-25 09:30:00,3021.228,3021.499,3019.067,3020.111,471,0,0
2025-03-25 09:35:00,3020.077,3021.159,3019.64,3020.903,660,0,0
2025-03-25 09:40:00,3020.942,3021.289,3020.174,3021.216,357,0,0
2025-03-25 09:45:00,3021.283,3023.107,3021.029,3022.806,455,0,0
2025-03-25 09:50:00,3022.802,3023.641,3022.255,3022.374,480,0,0
2025-03-25 09:55:00,3022.306,3023.441,3022.023,3023.343,414,0,0
2025-03-25 10:00:00,3023.309,3023.724,3022.919,3023.156,397,0,0
2025-03-25 10:05:00,3023.158,3024.014,3022.902,3023.45,370,0,0
2025-03-25 10:10:00,3023.445,3024.946,3023.41,3023.942,739,0,0
2025-03-25 10:15:00,3023.988,3024.445,3023.76,3024.217,404,0,0
2025-03-25 10:20:00,3024.265,3024.342,3022.205,3022.684,686,0,0
2025-03-25 10:25:00,3022.722,3023.097,3021.278,3021.477,561,0,0
2025-03-25 10:30:00,3021.402,3022.275,3020.738,3021.641,536,0,0
2025-03-25 10:35:00,3021.62,3023.962,3021.62,3023.579,540,0,0
2025-03-25 10:40:00,3023.544,3023.751,3022.611,3023.219,385,0,0
2025-03-25 10:45:00,3023.29,3024.459,3022.725,3024.016,541,0,0
2025-03-25 10:50:00,3024.071,3024.564,3022.954,3022.954,509,0,0
2025-03-25 10:55:00,3022.987,3023.982,3022.91,3023.621,414,0,0
2025-03-25 11:00:00,3023.623,3024.542,3023.563,3024.364,406,0,0
2025-03-25 11:05:00,3024.363,3024.89,3023.345,3024.748,522,0,0
2025-03-25 11:10:00,3024.756,3025.05,3024.065,3024.286,410,0,0
2025-03-25 11:15:00,3024.284,3025.229,3024.278,3024.576,401,0,0
2025-03-25 11:20:00,3024.585,3025.538,3023.537,3023.662,458,0,0
2025-03-25 11:25:00,3023.664,3025.229,3023.572,3025.206,515,0,0
2025-03-25 11:30:00,3025.162,3026.516,3024.938,3025.081,551,0,0
2025-03-25 11:35:00,3025.126,3025.618,3024.356,3024.41,511,0,0
2025-03-25 11:40:00,3024.433,3024.933,3022.848,3023.578,621,0,0
2025-03-25 11:45:00,3023.577,3023.8,3021.9,3022.623,519,0,0
2025-03-25 11:50:00,3022.585,3023.178,3021.434,3022.224,716,0,0
2025-03-25 11:55:00,3022.204,3022.204,3020.505,3020.855,611,0,0
2025-03-25 12:00:00,3020.818,3022.006,3018.72,3018.748,558,0,0
